District,District_Key,State_Code,State,Confirmed,Active,Recovered,Deaths
Bongaigaon,AS_Bongaigaon,AS,Assam,5095,4205,834,56
Cachar,AS_Cachar,AS,Assam,21969,20308,1498,163
Charaideo,AS_Charaideo,AS,Assam,2358,2225,105,28
Chirang,AS_Chirang,AS,Assam,1897,1656,219,22
Darrang,AS_Darrang,AS,Assam,8901,7091,1730,80
Dhemaji,AS_Dhemaji,AS,Assam,5475,5005,440,30
Dhubri,AS_Dhubri,AS,Assam,7278,6024,1215,39
Dibrugarh,AS_Dibrugarh,AS,Assam,29320,26602,2409,309
Dima Hasao,AS_Dima Hasao,AS,Assam,2520,2314,199,7
Goalpara,AS_Goalpara,AS,Assam,8874,38,568,65
Golaghat,AS_Golaghat,AS,Assam,14984,13200,1656,128
Hailakandi,AS_Hailakandi,AS,Assam,5730,4587,1116,27
Hojai,AS_Hojai,AS,Assam,6109,4871,1160,78
Jorhat,AS_Jorhat,AS,Assam,18752,16822,1752,178
Kamrup,AS_Kamrup,AS,Assam,28355,26070,2074,211
Kamrup Metropolitan,AS_Kamrup Metropolitan,AS,Assam,94212,78109,15370,733
Karbi Anglong,AS_Karbi Anglong,AS,Assam,5466,4844,552,70
Karimganj,AS_Karimganj,AS,Assam,6720,5698,955,67
Kokrajhar,AS_Kokrajhar,AS,Assam,4240,3844,353,43
Lakhimpur,AS_Lakhimpur,AS,Assam,9256,8059,1135,62
Majuli,AS_Majuli,AS,Assam,1052,965,80,7
Morigaon,AS_Morigaon,AS,Assam,10545,9945,557,43
Nagaon,AS_Nagaon,AS,Assam,20487,17828,2506,153
Nalbari,AS_Nalbari,AS,Assam,7484,6577,828,79
Other State,AS_Other State,AS,Assam,153,152,1,0
Sivasagar,AS_Sivasagar,AS,Assam,6837,6248,473,116
Sonitpur,AS_Sonitpur,AS,Assam,16048,14168,1727,153
South Salmara Mankachar,AS_South Salmara Mankachar,AS,Assam,1758,1695,47,16
Tinsukia,AS_Tinsukia,AS,Assam,16883,14892,1798,193
Udalguri,AS_Udalguri,AS,Assam,4403,3678,666,59
West Karbi Anglong,AS_West Karbi Anglong,AS,Assam,883,844,37,2
Araria,BR_Araria,BR,Bihar,14861,26,14719,116
Arwal,BR_Arwal,BR,Bihar,7321,22,7225,74
Aurangabad,BR_Aurangabad,BR,Bihar,19934,6,19853,75
Banka,BR_Banka,BR,Bihar,7353,4,7238,111
Begusarai,BR_Begusarai,BR,Bihar,27049,75,26519,455
Bhagalpur,BR_Bhagalpur,BR,Bihar,25711,36,25367,308
Bhojpur,BR_Bhojpur,BR,Bihar,10097,11,9928,158
Buxar,BR_Buxar,BR,Bihar,9228,0,9047,181
Darbhanga,BR_Darbhanga,BR,Bihar,10756,155,10243,358
East Champaran,BR_East Champaran,BR,Bihar,18899,121,18348,430
Gaya,BR_Gaya,BR,Bihar,33857,48,33531,278
Gopalganj,BR_Gopalganj,BR,Bihar,16624,40,16490,94
Jamui,BR_Jamui,BR,Bihar,9369,17,9247,105
Jehanabad,BR_Jehanabad,BR,Bihar,10751,3,10639,109
Kaimur,BR_Kaimur,BR,Bihar,4962,3,4813,146
Katihar,BR_Katihar,BR,Bihar,18019,58,17867,94
Khagaria,BR_Khagaria,BR,Bihar,9917,33,9798,86
Kishanganj,BR_Kishanganj,BR,Bihar,9953,69,9818,66
Lakhisarai,BR_Lakhisarai,BR,Bihar,7692,41,7550,101
Madhepura,BR_Madhepura,BR,Bihar,12423,62,12250,111
Madhubani,BR_Madhubani,BR,Bihar,18213,37,17846,330
Munger,BR_Munger,BR,Bihar,15055,40,14858,157
Muzaffarpur,BR_Muzaffarpur,BR,Bihar,31232,24,30591,617
Nalanda,BR_Nalanda,BR,Bihar,23330,72,22790,468
Nawada,BR_Nawada,BR,Bihar,10271,19,10075,177
Patna,BR_Patna,BR,Bihar,146328,279,143727,2322
Purnia,BR_Purnia,BR,Bihar,24236,65,23992,179
Rohtas,BR_Rohtas,BR,Bihar,13872,14,13589,269
Saharsa,BR_Saharsa,BR,Bihar,17453,80,17241,132
Samastipur,BR_Samastipur,BR,Bihar,19806,77,19579,150
Saran,BR_Saran,BR,Bihar,23137,104,22782,251
Sheikhpura,BR_Sheikhpura,BR,Bihar,7657,13,7569,75
Sheohar,BR_Sheohar,BR,Bihar,4370,5,4329,36
Sitamarhi,BR_Sitamarhi,BR,Bihar,9111,22,8963,126
Siwan,BR_Siwan,BR,Bihar,15130,39,14925,166
Supaul,BR_Supaul,BR,Bihar,17126,40,16960,126
Vaishali,BR_Vaishali,BR,Bihar,19713,55,19466,191
West Champaran,BR_West Champaran,BR,Bihar,20838,16,20466,356
Chandigarh,CH_Chandigarh,CH,Chandigarh,61656,163,60685,808
Other State,CT_Other State,CT,Chhattisgarh,724,27,566,131
Balod,CT_Balod,CT,Chhattisgarh,27133,111,26629,393
Baloda Bazar,CT_Baloda Bazar,CT,Chhattisgarh,42621,258,41896,467
Balrampur,CT_Balrampur,CT,Chhattisgarh,20128,247,19766,115
Bametara,CT_Bametara,CT,Chhattisgarh,19861,167,19459,235
Bastar,CT_Bastar,CT,Chhattisgarh,20199,526,19486,187
Bijapur,CT_Bijapur,CT,Chhattisgarh,7499,629,6824,46
Bilaspur,CT_Bilaspur,CT,Chhattisgarh,65039,85,63753,1201
Dakshin Bastar Dantewada,CT_Dakshin Bastar Dantewada,CT,Chhattisgarh,10427,269,10135,23
Dhamtari,CT_Dhamtari,CT,Chhattisgarh,26912,152,26225,535
Durg,CT_Durg,CT,Chhattisgarh,96157,164,94205,1788
Gariaband,CT_Gariaband,CT,Chhattisgarh,19546,164,19190,192
Janjgir Champa,CT_Janjgir Champa,CT,Chhattisgarh,56646,263,55576,807
Jashpur,CT_Jashpur,CT,Chhattisgarh,26393,238,25944,211
Kabeerdham,CT_Kabeerdham,CT,Chhattisgarh,22708,78,22363,267
Kondagaon,CT_Kondagaon,CT,Chhattisgarh,12778,139,12543,96
Korba,CT_Korba,CT,Chhattisgarh,54233,206,53454,573
Koriya,CT_Koriya,CT,Chhattisgarh,26664,202,26288,174
Mahasamund,CT_Mahasamund,CT,Chhattisgarh,31152,107,30686,359
Mungeli,CT_Mungeli,CT,Chhattisgarh,23814,126,23522,166
Narayanpur,CT_Narayanpur,CT,Chhattisgarh,3855,76,3767,12
Raigarh,CT_Raigarh,CT,Chhattisgarh,62103,297,60830,976
Raipur,CT_Raipur,CT,Chhattisgarh,157164,201,153833,3130
Rajnandgaon,CT_Rajnandgaon,CT,Chhattisgarh,55904,66,55327,511
Sukma,CT_Sukma,CT,Chhattisgarh,7206,416,6775,15
Surajpur,CT_Surajpur,CT,Chhattisgarh,28806,197,28387,222
Surguja,CT_Surguja,CT,Chhattisgarh,33356,259,32855,242
Uttar Bastar Kanker,CT_Uttar Bastar Kanker,CT,Chhattisgarh,23112,134,22759,219
Gaurela Pendra Marwahi,CT_Gaurela Pendra Marwahi,CT,Chhattisgarh,11937,110,11682,145
Central Delhi,DL_Central Delhi,DL,Delhi,184,184,0,0
East Delhi,DL_East Delhi,DL,Delhi,38,38,0,0
New Delhi,DL_New Delhi,DL,Delhi,37,37,0,0
North Delhi,DL_North Delhi,DL,Delhi,60,60,0,0
North East Delhi,DL_North East Delhi,DL,Delhi,25,25,0,0
North West Delhi,DL_North West Delhi,DL,Delhi,32,31,0,1
Shahdara,DL_Shahdara,DL,Delhi,48,48,0,0
South Delhi,DL_South Delhi,DL,Delhi,70,70,0,0
South East Delhi,DL_South East Delhi,DL,Delhi,130,130,0,0
South West Delhi,DL_South West Delhi,DL,Delhi,42,42,0,0
West Delhi,DL_West Delhi,DL,Delhi,122,122,0,0
Other State,DN_Other State,DN,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0
Dadra and Nagar Haveli,DN_Dadra and Nagar Haveli,DN,Dadra and Nagar Haveli and Daman and Diu,5843,17,5818,3
Daman,DN_Daman,DN,Dadra and Nagar Haveli and Daman and Diu,3504,22,3455,1
Diu,DN_Diu,DN,Dadra and Nagar Haveli and Daman and Diu,1214,4,1210,0
Other State,GA_Other State,GA,Goa,200,9,190,1
North Goa,GA_North Goa,GA,Goa,2668,1639,964,65
South Goa,GA_South Goa,GA,Goa,3511,1978,1407,126
Other State,GJ_Other State,GJ,Gujarat,162,0,159,3
Ahmedabad,GJ_Ahmedabad,GJ,Gujarat,237663,1162,233099,3402
Amreli,GJ_Amreli,GJ,Gujarat,10758,24,10633,101
Anand,GJ_Anand,GJ,Gujarat,9586,20,9518,48
Aravalli,GJ_Aravalli,GJ,Gujarat,5182,26,5079,77
Banaskantha,GJ_Banaskantha,GJ,Gujarat,13607,20,13425,162
Bharuch,GJ_Bharuch,GJ,Gujarat,11386,14,11254,118
Bhavnagar,GJ_Bhavnagar,GJ,Gujarat,21383,154,20930,299
Botad,GJ_Botad,GJ,Gujarat,2216,11,2163,42
Chhota Udaipur,GJ_Chhota Udaipur,GJ,Gujarat,3394,3,3353,38
Dahod,GJ_Dahod,GJ,Gujarat,9918,3,9877,38
Dang,GJ_Dang,GJ,Gujarat,861,1,842,18
Devbhumi Dwarka,GJ_Devbhumi Dwarka,GJ,Gujarat,4150,20,4049,81
Gandhinagar,GJ_Gandhinagar,GJ,Gujarat,20703,290,20208,205
Gir Somnath,GJ_Gir Somnath,GJ,Gujarat,8514,148,8299,67
Jamnagar,GJ_Jamnagar,GJ,Gujarat,34886,54,34355,477
Junagadh,GJ_Junagadh,GJ,Gujarat,20401,96,20035,270
Kheda,GJ_Kheda,GJ,Gujarat,10406,16,10342,48
Kutch,GJ_Kutch,GJ,Gujarat,12568,18,12405,145
Mahisagar,GJ_Mahisagar,GJ,Gujarat,8189,13,8104,72
Mehsana,GJ_Mehsana,GJ,Gujarat,24390,62,24151,177
Morbi,GJ_Morbi,GJ,Gujarat,6494,1,6406,87
Narmada,GJ_Narmada,GJ,Gujarat,5941,5,5921,15
Navsari,GJ_Navsari,GJ,Gujarat,7117,24,7069,24
Panchmahal,GJ_Panchmahal,GJ,Gujarat,11759,9,11680,70
Patan,GJ_Patan,GJ,Gujarat,11621,2,11490,129
Porbandar,GJ_Porbandar,GJ,Gujarat,3463,13,3431,19
Rajkot,GJ_Rajkot,GJ,Gujarat,57817,81,57013,723
Sabarkantha,GJ_Sabarkantha,GJ,Gujarat,9299,16,9126,157
Surat,GJ_Surat,GJ,Gujarat,143175,725,140500,1950
Surendranagar,GJ_Surendranagar,GJ,Gujarat,8108,6,7966,136
Tapi,GJ_Tapi,GJ,Gujarat,4429,3,4404,22
Vadodara,GJ_Vadodara,GJ,Gujarat,77674,135,76752,787
Valsad,GJ_Valsad,GJ,Gujarat,6213,55,6109,49
Bilaspur,HP_Bilaspur,HP,Himachal Pradesh,12651,135,12438,77
Chamba,HP_Chamba,HP,Himachal Pradesh,11175,249,10780,142
Hamirpur,HP_Hamirpur,HP,Himachal Pradesh,14361,113,13993,254
Kangra,HP_Kangra,HP,Himachal Pradesh,45854,267,44554,1029
Kinnaur,HP_Kinnaur,HP,Himachal Pradesh,3238,37,3163,38
Kullu,HP_Kullu,HP,Himachal Pradesh,8899,130,8603,154
Lahaul and Spiti,HP_Lahaul and Spiti,HP,Himachal Pradesh,2709,16,2676,17
Mandi,HP_Mandi,HP,Himachal Pradesh,27127,199,26539,389
Shimla,HP_Shimla,HP,Himachal Pradesh,25154,246,24305,599
Sirmaur,HP_Sirmaur,HP,Himachal Pradesh,15325,75,15040,210
Solan,HP_Solan,HP,Himachal Pradesh,22203,72,21820,311
Una,HP_Una,HP,Himachal Pradesh,13284,115,12926,241
Foreign Evacuees,HR_Foreign Evacuees,HR,Haryana,0,0,0,0
Ambala,HR_Ambala,HR,Haryana,30045,47,29490,508
Bhiwani,HR_Bhiwani,HR,Haryana,22315,113,21623,579
Charkhi Dadri,HR_Charkhi Dadri,HR,Haryana,5063,25,4913,125
Faridabad,HR_Faridabad,HR,Haryana,99709,73,98920,716
Fatehabad,HR_Fatehabad,HR,Haryana,17786,11,17327,448
Gurugram,HR_Gurugram,HR,Haryana,180689,128,179663,898
Hisar,HR_Hisar,HR,Haryana,53901,175,52719,1007
Italians,HR_Italians,HR,Haryana,0,0,0,0
Jhajjar,HR_Jhajjar,HR,Haryana,18788,37,18460,291
Jind,HR_Jind,HR,Haryana,21197,87,20596,514
Kaithal,HR_Kaithal,HR,Haryana,11161,47,10792,322
Karnal,HR_Karnal,HR,Haryana,39884,62,39281,541
Kurukshetra,HR_Kurukshetra,HR,Haryana,22041,83,21610,348
Mahendragarh,HR_Mahendragarh,HR,Haryana,21678,10,21522,146
Nuh,HR_Nuh,HR,Haryana,4997,5,4877,115
Palwal,HR_Palwal,HR,Haryana,10820,27,10644,149
Panchkula,HR_Panchkula,HR,Haryana,30581,87,30128,366
Panipat,HR_Panipat,HR,Haryana,31110,131,30441,538
Rewari,HR_Rewari,HR,Haryana,20239,40,19990,209
Rohtak,HR_Rohtak,HR,Haryana,25798,94,25206,498
Sirsa,HR_Sirsa,HR,Haryana,29188,149,28591,448
Sonipat,HR_Sonipat,HR,Haryana,47069,13,46802,254
Yamunanagar,HR_Yamunanagar,HR,Haryana,24493,51,24045,397
Bokaro,JH_Bokaro,JH,Jharkhand,19195,46,18871,278
Chatra,JH_Chatra,JH,Jharkhand,6014,25,5936,53
Deoghar,JH_Deoghar,JH,Jharkhand,10713,42,10558,113
Dhanbad,JH_Dhanbad,JH,Jharkhand,16369,32,15958,379
Dumka,JH_Dumka,JH,Jharkhand,4618,31,4540,47
East Singhbhum,JH_East Singhbhum,JH,Jharkhand,51521,108,50377,1036
Garhwa,JH_Garhwa,JH,Jharkhand,6839,26,6719,94
Giridih,JH_Giridih,JH,Jharkhand,8936,20,8786,130
Godda,JH_Godda,JH,Jharkhand,5793,7,5699,87
Gumla,JH_Gumla,JH,Jharkhand,9824,35,9752,37
Hazaribagh,JH_Hazaribagh,JH,Jharkhand,19529,58,19285,186
Jamtara,JH_Jamtara,JH,Jharkhand,5502,24,5418,60
Khunti,JH_Khunti,JH,Jharkhand,7753,7,7650,96
Koderma,JH_Koderma,JH,Jharkhand,12784,7,12641,136
Latehar,JH_Latehar,JH,Jharkhand,7770,26,7687,57
Lohardaga,JH_Lohardaga,JH,Jharkhand,6655,27,6540,88
Pakur,JH_Pakur,JH,Jharkhand,2541,0,2529,12
Palamu,JH_Palamu,JH,Jharkhand,12249,12,12127,110
Ramgarh,JH_Ramgarh,JH,Jharkhand,13795,10,13589,196
Ranchi,JH_Ranchi,JH,Jharkhand,85151,252,83315,1584
Sahibganj,JH_Sahibganj,JH,Jharkhand,4726,15,4669,42
Saraikela-Kharsawan,JH_Saraikela-Kharsawan,JH,Jharkhand,7188,27,7094,67
Simdega,JH_Simdega,JH,Jharkhand,7107,92,6923,92
West Singhbhum,JH_West Singhbhum,JH,Jharkhand,12953,20,12800,133
Anantnag,JK_Anantnag,JK,Jammu and Kashmir,16034,284,15550,200
Bandipora,JK_Bandipora,JK,Jammu and Kashmir,9292,161,9031,100
Baramulla,JK_Baramulla,JK,Jammu and Kashmir,23212,272,22662,278
Budgam,JK_Budgam,JK,Jammu and Kashmir,22525,276,22045,204
Doda,JK_Doda,JK,Jammu and Kashmir,6799,256,6430,113
Ganderbal,JK_Ganderbal,JK,Jammu and Kashmir,9579,193,9310,76
Jammu,JK_Jammu,JK,Jammu and Kashmir,52373,616,50624,1133
Kathua,JK_Kathua,JK,Jammu and Kashmir,9202,42,9011,149
Kishtwar,JK_Kishtwar,JK,Jammu and Kashmir,4455,132,4281,42
Kulgam,JK_Kulgam,JK,Jammu and Kashmir,11025,201,10709,115
Kupwara,JK_Kupwara,JK,Jammu and Kashmir,13786,304,13317,165
Mirpur,JK_Mirpur,JK,Jammu and Kashmir,0,0,0,0
Muzaffarabad,JK_Muzaffarabad,JK,Jammu and Kashmir,0,0,0,0
Pulwama,JK_Pulwama,JK,Jammu and Kashmir,14854,221,14442,191
Punch,JK_Punch,JK,Jammu and Kashmir,6084,237,5756,91
Rajouri,JK_Rajouri,JK,Jammu and Kashmir,10694,166,10309,219
Ramban,JK_Ramban,JK,Jammu and Kashmir,5828,105,5660,63
Reasi,JK_Reasi,JK,Jammu and Kashmir,5865,297,5525,43
Samba,JK_Samba,JK,Jammu and Kashmir,7059,25,6916,118
Shopiyan,JK_Shopiyan,JK,Jammu and Kashmir,5551,17,5476,58
Srinagar,JK_Srinagar,JK,Jammu and Kashmir,69916,908,68181,827
Udhampur,JK_Udhampur,JK,Jammu and Kashmir,11165,92,10942,131
Bagalkote,KA_Bagalkote,KA,Karnataka,34974,414,34246,314
Ballari,KA_Ballari,KA,Karnataka,96992,708,94680,1604
Belagavi,KA_Belagavi,KA,Karnataka,75706,1642,73287,777
Bengaluru Rural,KA_Bengaluru Rural,KA,Karnataka,59552,1497,57247,808
Bengaluru Urban,KA_Bengaluru Urban,KA,Karnataka,1212746,52445,1144685,15615
Bidar,KA_Bidar,KA,Karnataka,24172,35,23741,392
Chamarajanagara,KA_Chamarajanagara,KA,Karnataka,31160,565,30131,453
Chikkaballapura,KA_Chikkaballapura,KA,Karnataka,43127,781,41961,384
Chikkamagaluru,KA_Chikkamagaluru,KA,Karnataka,45541,1730,43468,343
Chitradurga,KA_Chitradurga,KA,Karnataka,35101,861,34061,179
Dakshina Kannada,KA_Dakshina Kannada,KA,Karnataka,92513,5038,86295,1177
Davanagere,KA_Davanagere,KA,Karnataka,49498,1466,47491,541
Dharwad,KA_Dharwad,KA,Karnataka,59924,561,58162,1200
Gadag,KA_Gadag,KA,Karnataka,25796,225,25269,302
Hassan,KA_Hassan,KA,Karnataka,101560,3546,96909,1103
Haveri,KA_Haveri,KA,Karnataka,21642,221,20829,592
Kalaburagi,KA_Kalaburagi,KA,Karnataka,61303,253,60240,810
Kodagu,KA_Kodagu,KA,Karnataka,30237,1674,28296,267
Kolar,KA_Kolar,KA,Karnataka,43978,833,42671,474
Koppal,KA_Koppal,KA,Karnataka,34862,401,33955,506
Mandya,KA_Mandya,KA,Karnataka,70108,1174,68387,547
Mysuru,KA_Mysuru,KA,Karnataka,166207,4285,159759,2163
Other State,KA_Other State,KA,Karnataka,36,0,33,3
Raichur,KA_Raichur,KA,Karnataka,39773,145,39306,322
Ramanagara,KA_Ramanagara,KA,Karnataka,23640,186,23160,294
Shivamogga,KA_Shivamogga,KA,Karnataka,63925,1633,61305,987
Tumakuru,KA_Tumakuru,KA,Karnataka,114818,1610,112188,1020
Udupi,KA_Udupi,KA,Karnataka,66289,987,64910,392
Uttara Kannada,KA_Uttara Kannada,KA,Karnataka,51851,788,50381,682
Vijayapura,KA_Vijayapura,KA,Karnataka,35978,183,35323,472
Yadgir,KA_Yadgir,KA,Karnataka,27419,110,27103,206
Other State,KL_Other State,KL,Kerala,0,0,0,0
Alappuzha,KL_Alappuzha,KL,Kerala,198498,6647,190812,1000
Ernakulam,KL_Ernakulam,KL,Kerala,355327,14227,339772,1269
Idukki,KL_Idukki,KL,Kerala,82735,4541,78046,141
Kannur,KL_Kannur,KL,Kerala,159676,4547,154243,836
Kasaragod,KL_Kasaragod,KL,Kerala,85183,6393,78548,230
Kollam,KL_Kollam,KL,Kerala,229301,4204,224198,863
Kottayam,KL_Kottayam,KL,Kerala,196909,3778,192570,549
Kozhikode,KL_Kozhikode,KL,Kerala,308652,8810,298484,1317
Malappuram,KL_Malappuram,KL,Kerala,334508,10723,322762,995
Palakkad,KL_Palakkad,KL,Kerala,207324,6695,199481,1132
Pathanamthitta,KL_Pathanamthitta,KL,Kerala,117092,6244,110417,420
Thiruvananthapuram,KL_Thiruvananthapuram,KL,Kerala,298633,9464,286300,2759
Thrissur,KL_Thrissur,KL,Kerala,272087,9225,261473,1363
Wayanad,KL_Wayanad,KL,Kerala,64583,3679,60673,220
Kargil,LA_Kargil,LA,Ladakh,3493,43,3392,58
Leh,LA_Leh,LA,Ladakh,16545,228,16173,144
Lakshadweep,LD_Lakshadweep,LD,Lakshadweep,9742,307,9349,47
Ahmednagar,MH_Ahmednagar,MH,Maharashtra,267478,3408,258614,5455
Akola,MH_Akola,MH,Maharashtra,58842,481,57007,1350
Amravati,MH_Amravati,MH,Maharashtra,94003,427,92052,1522
Aurangabad,MH_Aurangabad,MH,Maharashtra,151167,1220,146349,3584
Beed,MH_Beed,MH,Maharashtra,93006,2778,87706,2515
Bhandara,MH_Bhandara,MH,Maharashtra,60054,642,58287,1115
Buldhana,MH_Buldhana,MH,Maharashtra,83896,268,82935,687
Chandrapur,MH_Chandrapur,MH,Maharashtra,87902,269,86077,1554
Dhule,MH_Dhule,MH,Maharashtra,45798,725,44417,644
Gadchiroli,MH_Gadchiroli,MH,Maharashtra,29547,225,28648,646
Gondia,MH_Gondia,MH,Maharashtra,40421,150,39706,558
Hingoli,MH_Hingoli,MH,Maharashtra,18277,109,17721,446
Jalgaon,MH_Jalgaon,MH,Maharashtra,139174,932,135579,2630
Jalna,MH_Jalna,MH,Maharashtra,59729,851,57727,1150
Kolhapur,MH_Kolhapur,MH,Maharashtra,154671,10612,139378,4678
Latur,MH_Latur,MH,Maharashtra,89849,727,86883,2233
Mumbai,MH_Mumbai,MH,Maharashtra,721516,12684,691114,15426
Mumbai Suburban,MH_Mumbai Suburban,MH,Maharashtra,0,0,0,0
Nagpur,MH_Nagpur,MH,Maharashtra,492464,3498,480444,8451
Nanded,MH_Nanded,MH,Maharashtra,90380,826,86887,2660
Nandurbar,MH_Nandurbar,MH,Maharashtra,39028,370,37708,947
Nashik,MH_Nashik,MH,Maharashtra,398260,3340,387144,7775
Osmanabad,MH_Osmanabad,MH,Maharashtra,61821,679,59340,1702
Other State,MH_Other State,MH,Maharashtra,146,26,0,118
Palghar,MH_Palghar,MH,Maharashtra,124965,1445,120809,2698
Parbhani,MH_Parbhani,MH,Maharashtra,51712,561,49961,1176
Pune,MH_Pune,MH,Maharashtra,1053583,16467,1020226,16688
Raigad,MH_Raigad,MH,Maharashtra,167622,5458,158643,3519
Ratnagiri,MH_Ratnagiri,MH,Maharashtra,61355,5616,54000,1735
Sangli,MH_Sangli,MH,Maharashtra,153135,10353,138785,3993
Satara,MH_Satara,MH,Maharashtra,192146,7596,179906,4619
Sindhudurg,MH_Sindhudurg,MH,Maharashtra,41120,4677,35419,1008
Solapur,MH_Solapur,MH,Maharashtra,173733,2821,166248,4579
Thane,MH_Thane,MH,Maharashtra,579084,15935,552731,10385
Wardha,MH_Wardha,MH,Maharashtra,58453,529,56567,1192
Washim,MH_Washim,MH,Maharashtra,41360,304,40423,630
Yavatmal,MH_Yavatmal,MH,Maharashtra,75936,89,74107,1736
East Garo Hills,ML_East Garo Hills,ML,Meghalaya,1298,246,1046,6
East Jaintia Hills,ML_East Jaintia Hills,ML,Meghalaya,1735,115,1601,19
East Khasi Hills,ML_East Khasi Hills,ML,Meghalaya,26563,1356,24585,622
North Garo Hills,ML_North Garo Hills,ML,Meghalaya,1098,255,837,6
Ribhoi,ML_Ribhoi,ML,Meghalaya,5520,585,4902,33
South Garo Hills,ML_South Garo Hills,ML,Meghalaya,800,82,714,4
South West Garo Hills,ML_South West Garo Hills,ML,Meghalaya,1475,110,1353,12
South West Khasi Hills,ML_South West Khasi Hills,ML,Meghalaya,1074,173,896,5
West Garo Hills,ML_West Garo Hills,ML,Meghalaya,5142,519,4582,41
West Jaintia Hills,ML_West Jaintia Hills,ML,Meghalaya,3619,616,2927,76
West Khasi Hills,ML_West Khasi Hills,ML,Meghalaya,1189,159,1016,14
CAPF Personnel,MN_CAPF Personnel,MN,Manipur,3013,1330,1681,2
Bishnupur,MN_Bishnupur,MN,Manipur,4221,4087,58,76
Chandel,MN_Chandel,MN,Manipur,843,823,4,16
Churachandpur,MN_Churachandpur,MN,Manipur,4917,4772,58,87
Imphal East,MN_Imphal East,MN,Manipur,14570,14141,150,279
Imphal West,MN_Imphal West,MN,Manipur,23100,22680,52,368
Jiribam,MN_Jiribam,MN,Manipur,677,673,2,2
